,player_name,player_birth,player_physical,player_no,player_position,player_exprience,player_payment,player_salaly,player_draft,player_join
79545,진명호,1989년 03월 20일,192cm/98kg,48,투수(우투좌타),진북초-전라중-효천고-(영남사이버대)-롯데-상무,15000만원,7500만원,09 롯데 2차 1라운드 2순위,09롯데
79557,민경수,1986년 03월 20일,178cm/81kg,57,투수(우언우타),대전신흥초-충남중-대전고-동아대,,,09 롯데 2차 4라운드 31순위,
79565,권영준,1986년 06월 04일,176cm/80kg,23,내야수(우투좌타),달북초-사직중-부산고-고려대-롯데-경찰,,,09 롯데 2차 6라운드 47순위,09롯데
79596,애킨스,1977년 08월 30일,180cm/95kg,96,투수(우투우타),웨인고-미국 오클라호마대-롯데,,,09 롯데 자유선발,
79604,손정훈,1986년 01월 14일,178cm/74kg,5,내야수(우투좌타),신학초-홍은중-덕수고-경희대-KIA,,,09 KIA 2차 3라운드 17순위,
79608,안치홍,1990년 07월 02일,178cm/88kg,13,내야수(우투우타),구지초(구리리틀)-대치중-서울고-KIA-경찰-KIA,18000만원,29000만원,09 KIA 2차 1라운드 1순위,09KIA
79617,정용운,1990년 07월 06일,186cm/88kg,49,투수(좌투좌타),인헌초-선린중-충암고-KIA,12000만원,5000만원,09 KIA 2차 2라운드 16순위,09KIA
79621,정성철,1990년 04월 21일,183cm/83kg,61,투수(우투우타),대성초-무등중-광주제일고-KIA,,,09 KIA 1차,
79642,장태성,1986년 12월 15일,182cm/78kg,42,내야수(우투우타),내덕초-청주중-청주기공고-계명대-KIA,,,09 KIA 2차 9라운드 62순위,
79644,로페즈,1975년 04월 21일,190cm/84kg,33,투수(우투우타),도미니카 차르카스고-KIA-SK,,,09 KIA 자유선발,
79650,구톰슨,1977년 01월 11일,188cm/91kg,50,투수(우투우타),미국 에드몬즈 커뮤니티대-KIA,,,09 KIA 자유선발,
79653,윤효섭,1990년 10월 24일,170cm/72kg,011,외야수(우투좌타),효덕초-동성중-동성고,,,09 KIA 2차 6라운드 48순위,09KIA
79656,양동일,1985년 04월 08일,181cm/80kg,56,투수(우투우타),서석초-진흥중-진흥고-경희대,,,09 KIA 2차 5라운드 33순위,
79657,박상혁,1990년 03월 07일,187cm/74kg,19,투수(좌투좌타),양덕초-마산동중-마산고-KIA-NC-상무,,,09 KIA 2차 4라운드 32순위,09KIA
79658,조동현,1984년 04월 16일,185cm/86kg,58,투수(우투우타),영도초-경남중-경남고-한양대-KIA,,,03 KIA 2차 7라운드 52순위,
79662,유승룡,1986년 01월 29일,174cm/70kg,62,내야수(우투우타),서석초-진흥중-진흥고-동아대-KIA,,,09 KIA 2차 7라운드 49순위,
79664,유휘봉,1991년 02월 26일,178cm/90kg,111,외야수(우투우타),목포대성초-여수중-화순고,,,09 KIA 2차 8라운드 61순위,
79704,김강석,1985년 09월 08일,177cm/74kg,4,외야수(우투좌타),화곡초-신월중-제물포고-경성대-한화-상무,,,09 한화 2차 6라운드 43순위,09한화
79705,김회성,1985년 12월 04일,190cm/92kg,24,내야수(우투우타),대전신흥초-한밭중-세광고-경성대-한화-경찰,10000만원,6500만원,09 한화 1차,09한화
79720,강병수,1984년 04월 16일,186cm/86kg,20,내야수(우투우타),일본 후꾸지야마 세이비고-한화,,,,
79725,디아즈,1981년 12월 10일,188cm/94kg,27,외야수(우투우타),도미니카 그레이슨 컨츄리대-한화,,,09 한화 자유선발,
79727,연지,1977년 01월 05일,195cm/100kg,27,투수(우투우타),미국 버크넬대-한화,,,09 한화 자유선발,
79746,허유강,1986년 11월 16일,180cm/82kg,19,투수(우언우타),둔촌초-잠신중-경기고-성균관대-한화-경찰,,,09 한화 2차 2라운드 11순위,09한화
79748,구본범,1987년 02월 08일,191cm/91kg,63,투수(우투우타),인헌초-성남중-성남고-원광대-한화-경찰,,,09 한화 2차 1라운드 6순위,09한화
79758,황재규,1986년 04월 16일,175cm/85kg,80,투수(우투우타),수유초-청원중-청원고-성균관대,,,09 한화 2차 5라운드 38순위,09한화 
79760,박성호,1986년 07월 04일,197cm/115kg,30,투수(우투우타),명서초-대천중-부산고-고려대-한화-KIA-상무-KIA,,,09 한화 2차 4라운드 27순위,09한화
79761,김주,1989년 03월 02일,200cm/96kg,61,투수(우투우타),부곡초-수원북중-유신고,,,08 한화 육성선수,09한화
79764,장민재,1990년 03월 19일,184cm/98kg,36,투수(우투우타),광주화정초-무등중-광주제일고,8000만원,10000만원,09 한화 2차 3라운드 22순위,09한화
79791,김동호,1985년 09월 10일,185cm/91kg,41,투수(우투우타),대구수창초-성광중-대구고-영남대,,,09 한화 육성선수,15삼성
79804,하지호,1984년 12월 16일,177cm/76kg,4,내야수(우투우타),잠원초-경원중-중앙고-성균관대,,,08 SK 육성선수,
79817,박현준,1986년 09월 22일,185cm/90kg,11,투수(우언우타),금평초-전주동중-전주고-경희대-SK,,,09 SK 2차 1라운드 8순위,09SK
79825,여건욱,1986년 09월 16일,185cm/92kg,54,투수(우투우타),광주서림초-광주동성중-광주제일고-고려대-SK-경찰-SK,5000만원,7000만원,09 SK 2차 5라운드 40순위,09SK
79840,윤석주,1990년 04월 27일,181cm/76kg,19,투수(우투우타),언북초-언북중-야탑고-SK-상무,,,09 SK 2차 3라운드 24순위,09SK
79844,박정환,1986년 03월 14일,180cm/83kg,44,(우투우타),학강초-동성중-동성고-성균관대,,,,
79847,김태훈,1990년 05월 19일,176cm/88kg,51,투수(좌투좌타),동구초(구리리틀)-구리인창중-구리인창고-SK-상무-SK,10000만원,16000만원,09 SK 1차,09SK
79852,김상록,1986년 09월 20일,178cm/75kg,56,투수(우투우타),양정초-개성중-경남고-중앙대,,,09 SK 2차 6라운드 41순위,
